Batch_ID,Timestamp,Speed_Raw,Temp_Raw,Viscosity_Raw,MassFrac_Raw,MixTime_Raw,HeatTime_Raw,ColdTime_Raw,Phase_Val,Quality_Val,Code_Speed,Code_Temp,Code_Visc,Code_MassFrac,Code_Phase,Code_Quality,Transaction_Itemset
B2023-0010,1768223946.612141,39.93,39.88,0.2736,10.52,4.79,5.16,8.21,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0011,1768224006.612141,30.59,42.6,0.2043,12.75,5.41,4.27,6.63,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0012,1768224066.612141,27.87,34.31,0.2316,12.21,3.84,3.98,7.98,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0013,1768224126.612141,33.13,23.93,0.2907,12.26,3.14,6.09,8.22,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0014,1768224186.612141,25.09,22.88,0.2248,13.19,8.27,6.47,7.72,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0015,1768224246.612141,27.19,6.49,0.4819,4.91,9.0,7.18,6.11,2,1,N_2040,T_010,V_4550,WF_0005,PH_2,Q_F,"Speed: N_2040, Temp: T_010, Visc: V_4550, Quality: Q_F"
B2023-0016,1768224306.612141,41.35,41.23,0.3242,11.96,8.15,6.65,7.43,2,0,N_4060,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0017,1768224366.612141,33.64,46.25,0.2827,7.22,8.98,4.55,4.31,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0018,1768224426.612141,30.1,33.73,0.2342,9.51,2.55,7.46,5.79,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0019,1768224486.612141,37.69,42.99,0.3629,9.96,5.09,4.37,4.27,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0020,1768224546.612141,20.08,32.55,0.1255,6.25,8.17,5.5,8.7,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0021,1768224606.612141,35.4,51.33,0.215,8.9,2.67,4.24,6.32,2,0,N_2040,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0022,1768224666.612141,33.26,54.75,0.3018,13.54,6.44,5.42,8.41,2,0,N_2040,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0023,1768224726.612141,32.45,42.81,0.3649,12.45,4.7,8.24,6.35,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0024,1768224786.612141,23.2,35.93,0.1942,11.66,7.85,4.04,4.49,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0025,1768224846.612141,22.0,36.16,0.1625,5.57,7.9,7.79,6.3,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0026,1768224906.612141,39.8,47.5,0.2179,9.52,5.25,6.01,7.78,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0027,1768224966.612141,31.23,54.83,0.2787,11.63,5.76,5.65,7.84,2,0,N_2040,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0028,1768225026.612141,26.29,24.61,0.2641,7.27,8.8,8.75,7.06,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0029,1768225086.612141,71.74,43.11,0.2658,0.58,6.53,8.68,7.26,1,1,N_6080,T_4050,V_0045,WF_0005,PH_1,Q_F,"Speed: N_6080, Temp: T_4050, Visc: V_0045, Quality: Q_F"
B2023-0030,1768225146.612141,37.69,42.48,0.292,6.46,3.84,3.79,7.84,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0031,1768225206.612141,47.75,54.6,0.2963,10.04,2.99,7.58,8.7,2,0,N_4060,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0032,1768225266.612141,19.72,10.81,0.4681,8.72,4.45,8.46,8.75,1,1,N_0020,T_1020,V_4550,WF_0515,PH_1,Q_F,"Speed: N_0020, Temp: T_1020, Visc: V_4550, Quality: Q_F"
B2023-0033,1768225326.612141,45.73,51.32,0.224,6.67,4.67,8.01,4.08,2,0,N_4060,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0034,1768225386.612141,72.08,55.84,0.3334,0.34,6.66,8.71,8.06,2,1,N_6080,T_5060,V_0045,WF_0005,PH_2,Q_F,"Speed: N_6080, Temp: T_5060, Visc: V_0045, Quality: Q_F"
B2023-0035,1768225446.612141,23.77,39.81,0.1037,5.29,6.91,4.35,8.09,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0036,1768225506.612141,15.06,14.48,0.4907,10.74,2.07,3.06,6.51,1,1,N_0020,T_1020,V_4550,WF_0515,PH_1,Q_F,"Speed: N_0020, Temp: T_1020, Visc: V_4550, Quality: Q_F"
B2023-0037,1768225566.612141,43.48,46.24,0.2835,5.96,5.73,8.2,7.02,2,0,N_4060,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0038,1768225626.612141,18.23,20.84,0.4825,3.22,7.03,6.0,4.54,2,1,N_0020,T_2030,V_4550,WF_0005,PH_2,Q_F,"Speed: N_0020, Temp: T_2030, Visc: V_4550, Quality: Q_F"
B2023-0039,1768225686.612141,45.91,44.06,0.263,5.28,2.07,4.99,7.34,2,0,N_4060,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0040,1768225746.612141,27.56,39.86,0.1758,13.35,4.83,3.76,7.97,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0041,1768225806.612141,48.52,51.77,0.2366,13.78,8.48,7.18,5.27,2,0,N_4060,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0042,1768225866.612141,34.12,50.61,0.3314,9.3,5.97,6.52,6.34,2,0,N_2040,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0043,1768225926.612141,30.97,48.79,0.3535,8.79,4.58,7.93,6.11,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0044,1768225986.612141,34.06,39.03,0.1428,6.81,6.33,7.67,5.63,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0045,1768226046.612141,38.55,49.74,0.202,9.85,4.01,4.43,8.94,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0046,1768226106.612141,68.62,30.57,0.3986,4.31,3.14,5.9,5.66,1,1,N_6080,T_3040,V_0045,WF_0005,PH_1,Q_F,"Speed: N_6080, Temp: T_3040, Visc: V_0045, Quality: Q_F"
B2023-0047,1768226166.612141,25.4,23.29,0.4716,13.74,2.55,3.32,7.44,1,1,N_2040,T_2030,V_4550,WF_0515,PH_1,Q_F,"Speed: N_2040, Temp: T_2030, Visc: V_4550, Quality: Q_F"
B2023-0048,1768226226.612141,28.54,25.25,0.1672,10.98,2.62,5.86,5.52,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0049,1768226286.612141,46.39,41.05,0.3899,7.93,3.69,7.16,7.83,2,0,N_4060,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0050,1768226346.612141,38.83,54.05,0.2064,8.78,8.09,7.86,5.01,2,0,N_2040,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0051,1768226406.612141,37.76,38.2,0.1657,10.3,7.75,7.66,7.83,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0052,1768226466.612141,24.59,22.65,0.4764,9.56,2.27,4.47,5.23,1,1,N_2040,T_2030,V_4550,WF_0515,PH_1,Q_F,"Speed: N_2040, Temp: T_2030, Visc: V_4550, Quality: Q_F"
B2023-0053,1768226526.612141,46.68,50.6,0.3463,12.24,7.99,7.33,6.45,2,0,N_4060,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0054,1768226586.612141,66.99,54.89,0.222,1.34,2.92,6.79,8.45,2,1,N_6080,T_5060,V_0045,WF_0005,PH_2,Q_F,"Speed: N_6080, Temp: T_5060, Visc: V_0045, Quality: Q_F"
B2023-0055,1768226646.612141,28.28,28.57,0.1144,8.33,8.6,8.37,6.37,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0056,1768226706.612141,42.76,49.13,0.2272,8.66,2.41,6.88,4.31,2,0,N_4060,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0057,1768226766.612141,48.6,50.6,0.3545,11.5,8.09,3.41,7.58,2,0,N_4060,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0058,1768226826.612141,35.46,49.0,0.24,13.21,6.46,3.22,7.16,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0059,1768226886.612141,21.71,20.9,0.4938,12.09,3.46,4.78,5.14,1,1,N_2040,T_2030,V_4550,WF_0515,PH_1,Q_F,"Speed: N_2040, Temp: T_2030, Visc: V_4550, Quality: Q_F"
B2023-0060,1768226946.612141,45.11,53.64,0.3872,6.75,3.1,4.76,6.11,2,0,N_4060,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0061,1768227006.612141,38.04,20.14,0.1836,6.18,5.61,6.21,4.67,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0062,1768227066.612141,42.07,40.26,0.2214,6.65,5.28,6.95,4.54,2,0,N_4060,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0063,1768227126.612141,45.14,47.61,0.2593,11.02,4.55,5.84,6.38,2,0,N_4060,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0064,1768227186.612141,49.52,44.69,0.2069,11.58,8.56,7.64,7.65,2,0,N_4060,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0065,1768227246.612141,19.84,6.97,0.4956,4.9,2.84,5.08,8.91,1,1,N_0020,T_010,V_4550,WF_0005,PH_1,Q_F,"Speed: N_0020, Temp: T_010, Visc: V_4550, Quality: Q_F"
B2023-0066,1768227306.612141,46.81,54.09,0.3031,9.93,3.41,6.86,5.67,2,0,N_4060,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0067,1768227366.612141,21.72,23.92,0.2685,7.72,3.38,5.18,5.82,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0068,1768227426.612141,25.17,31.53,0.2333,9.55,8.24,4.13,5.45,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0069,1768227486.612141,46.98,44.77,0.3489,7.97,7.75,8.95,5.3,2,0,N_4060,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0070,1768227546.612141,31.11,45.99,0.2597,7.82,2.37,4.53,7.18,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0071,1768227606.612141,21.63,25.18,0.2574,5.25,4.31,8.47,7.81,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0072,1768227666.612141,20.56,26.45,0.2344,6.43,3.09,4.11,5.37,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0073,1768227726.612141,73.3,37.94,0.1012,4.18,7.76,7.03,5.12,1,1,N_6080,T_3040,V_0045,WF_0005,PH_1,Q_F,"Speed: N_6080, Temp: T_3040, Visc: V_0045, Quality: Q_F"
B2023-0074,1768227786.612141,29.14,36.81,0.2642,12.57,3.07,6.47,7.19,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0075,1768227846.612141,12.33,14.32,0.4658,5.71,5.55,3.18,5.92,1,1,N_0020,T_1020,V_4550,WF_0515,PH_1,Q_F,"Speed: N_0020, Temp: T_1020, Visc: V_4550, Quality: Q_F"
B2023-0076,1768227906.612141,37.95,51.97,0.2365,11.01,8.08,4.12,6.84,2,0,N_2040,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0077,1768227966.612141,36.05,40.39,0.3184,10.02,6.14,8.91,7.22,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0078,1768228026.612141,33.11,32.05,0.1138,9.18,6.61,8.51,4.69,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0079,1768228086.612141,68.44,49.69,0.2878,2.03,3.38,6.08,7.13,2,1,N_6080,T_4050,V_0045,WF_0005,PH_2,Q_F,"Speed: N_6080, Temp: T_4050, Visc: V_0045, Quality: Q_F"
B2023-0080,1768228146.612141,25.27,32.17,0.1533,11.91,3.74,5.12,6.6,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0081,1768228206.612141,35.55,54.07,0.3384,8.07,8.97,6.88,7.64,2,0,N_2040,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0082,1768228266.612141,70.93,48.66,0.2302,3.16,2.61,6.72,6.8,2,1,N_6080,T_4050,V_0045,WF_0005,PH_2,Q_F,"Speed: N_6080, Temp: T_4050, Visc: V_0045, Quality: Q_F"
B2023-0083,1768228326.612141,33.7,48.83,0.3794,6.88,5.52,8.01,6.11,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0084,1768228386.612141,38.78,42.82,0.2856,7.63,4.72,5.63,4.9,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0085,1768228446.612141,39.46,35.26,0.2195,13.44,7.36,4.68,8.48,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0086,1768228506.612141,46.48,51.17,0.2576,8.99,6.96,8.69,4.04,2,0,N_4060,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0087,1768228566.612141,32.54,52.64,0.3289,9.74,6.16,5.17,6.05,2,0,N_2040,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0088,1768228626.612141,34.43,46.03,0.2219,12.41,5.27,5.56,5.23,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0089,1768228686.612141,28.76,15.39,0.4941,13.93,8.08,4.79,7.56,2,1,N_2040,T_1020,V_4550,WF_0515,PH_2,Q_F,"Speed: N_2040, Temp: T_1020, Visc: V_4550, Quality: Q_F"
B2023-0090,1768228746.612141,28.05,37.8,0.1472,13.64,4.85,5.76,4.39,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0091,1768228806.612141,25.17,33.6,0.2765,6.56,5.18,8.91,8.45,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0092,1768228866.612141,44.39,44.54,0.2404,8.63,2.78,3.92,5.11,2,0,N_4060,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0093,1768228926.612141,41.16,43.05,0.261,12.15,8.78,6.04,8.25,2,0,N_4060,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0094,1768228986.612141,39.43,47.07,0.3335,9.62,3.2,3.32,5.1,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0095,1768229046.612141,35.47,33.6,0.1044,12.91,5.55,6.48,6.86,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0096,1768229106.612141,33.19,43.46,0.2195,7.48,8.05,4.23,8.61,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0097,1768229166.612141,67.38,55.7,0.2164,4.75,3.63,8.97,6.79,1,1,N_6080,T_5060,V_0045,WF_0005,PH_1,Q_F,"Speed: N_6080, Temp: T_5060, Visc: V_0045, Quality: Q_F"
B2023-0098,1768229226.612141,16.42,19.29,0.4605,3.6,3.67,4.01,4.7,1,1,N_0020,T_1020,V_4550,WF_0005,PH_1,Q_F,"Speed: N_0020, Temp: T_1020, Visc: V_4550, Quality: Q_F"
B2023-0099,1768229286.612141,44.27,47.68,0.3261,13.26,3.64,3.91,8.0,2,0,N_4060,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0100,1768229346.612141,30.93,27.45,0.2784,10.12,3.77,8.25,5.68,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0101,1768229406.612141,37.05,30.69,0.1209,13.95,6.59,5.8,7.73,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0102,1768229466.612141,28.49,39.98,0.1573,8.61,4.55,7.45,7.53,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0103,1768229526.612141,24.6,35.64,0.161,9.74,5.76,3.98,5.54,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0104,1768229586.612141,35.41,37.49,0.2537,7.05,3.91,3.61,4.03,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0105,1768229646.612141,20.58,37.68,0.2558,7.42,6.98,8.1,8.5,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0106,1768229706.612141,20.66,23.94,0.2011,6.72,3.66,8.32,6.18,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0107,1768229766.612141,34.34,24.2,0.2496,9.55,3.45,3.75,6.77,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0108,1768229826.612141,42.49,52.94,0.2719,5.14,7.12,4.25,5.15,2,0,N_4060,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_5060, Visc: V_0045, Quality: Q_P"
B2023-0109,1768229886.612141,40.97,46.84,0.3072,6.73,6.29,6.47,7.4,2,0,N_4060,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0110,1768229946.612141,31.97,23.42,0.2278,11.24,2.31,6.47,4.21,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0111,1768230006.612141,46.35,43.67,0.3558,10.88,4.13,8.91,7.19,2,0,N_4060,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0112,1768230066.612141,22.78,33.41,0.1503,10.17,8.41,5.76,7.42,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0113,1768230126.612141,22.14,39.9,0.2159,13.87,3.4,6.44,5.04,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0114,1768230186.612141,29.48,32.27,0.1803,13.9,2.97,3.42,8.64,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0115,1768230246.612141,23.26,28.72,0.143,7.63,4.91,5.25,7.09,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0116,1768230306.612141,43.67,53.68,0.3689,7.52,7.23,7.57,5.3,2,0,N_4060,T_5060,V_0045,WF_0515,PH_2,Q_P,"Speed: N_4060, Temp: T_5060, Visc: V_0045, Quality: Q_P"
